               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.061433,              0.0156,             0.03245,             0.40204,             0.99702,             0.43117,             0.11694,            0.054097,            0.010312,            0.019035,            0.031401,           0.0064011,           0.0064011
                  38,            0.063696,            0.015154,            0.033873,             0.37849,                0.75,             0.53833,             0.20526,            0.040653,            0.010798,            0.019185,            0.029541,           0.0065413,           0.0065413
                  39,            0.061774,            0.016331,            0.033731,             0.37849,                0.75,             0.53833,             0.20526,            0.040653,            0.010798,            0.019185,             0.02768,           0.0066799,           0.0066799
                  40,            0.061278,            0.016673,            0.032443,             0.27846,                0.75,             0.25931,            0.092177,            0.052482,            0.010359,             0.01921,            0.025817,            0.006817,            0.006817
                  41,             0.06761,            0.017582,            0.032787,             0.22005,                0.75,             0.52983,             0.32614,            0.032417,            0.011569,            0.019003,            0.023952,           0.0069524,           0.0069524
                  42,            0.063287,            0.015573,            0.031979,             0.22005,                0.75,             0.52983,             0.32614,            0.032417,            0.011569,            0.019003,            0.022086,           0.0070863,           0.0070863
                  43,            0.058543,            0.014906,            0.032668,             0.27975,                0.75,             0.62125,             0.20791,            0.041944,            0.010264,            0.018827,            0.020219,           0.0072186,           0.0072186
                  44,            0.059308,            0.017925,            0.032273,             0.27975,                0.75,             0.62125,             0.20791,            0.041944,            0.010264,            0.018827,            0.018349,           0.0073493,           0.0073493
                  45,            0.061448,             0.01726,            0.032481,              0.3069,                   1,              0.4975,             0.17593,            0.044199,            0.010177,            0.018849,            0.016478,           0.0074784,           0.0074784
                  46,             0.06189,            0.014992,            0.030426,              0.3069,                   1,              0.4975,             0.17593,            0.044199,            0.010177,            0.018849,            0.014606,           0.0076059,           0.0076059
                  47,            0.062446,            0.014381,            0.030614,             0.19725,                 0.5,             0.21771,            0.083724,            0.047782,           0.0091746,            0.018624,            0.012732,           0.0077319,           0.0077319
